id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19373991,Bright Top Floor Two Rooms Apartment w/ Terrace,134888431,Bonfim 234,PORTO,Bonfim,41.14959,-8.59629,Entire home/apt,133,1,2,2022-08-17,1.76,4,107,2,AL51805
19382012,Porto Lifestyle Beach City Foz Flats xlfamilygroup,125484209,Rosario,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15,-8.67466,Entire home/apt,88,2,37,2022-08-14,0.61,3,350,15,AL 52700  2017
19384597,Porto 114 Apartment,135882226,Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14438,-8.61732,Entire home/apt,104,2,410,2022-09-08,6.45,1,322,91,49833/AL
19609343,Aguda Beach Charming House with private pool,65792050,Filipe,VILA NOVA DE GAIA,Arcozelo,41.0501,-8.65186,Entire home/apt,149,4,33,2022-07-21,0.53,1,340,10,48225/AL
19667757,"Quiet room 3 minutes from the beach, 15 from Porto",13908086,Sérgio,ESPINHO,Espinho,41.00958,-8.64033,Private room,20,3,9,2022-08-31,0.14,1,2,4,Exempt
19674743,Quarto Garrett,97414561,Cristiane,PORTO,Ramalde,41.17247,-8.6358,Private room,22,3,20,2020-01-05,0.32,3,70,0,
19613700,22 Oporto Guesthouse,137887561,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15717,-8.61057,Entire home/apt,269,2,6,2022-05-29,0.10,1,304,4,47218/AL.
19679200,Quarto Garrett II,97414561,Cristiane,PORTO,Ramalde,41.17247,-8.6358,Private room,21,3,22,2020-02-20,0.36,3,160,0,
19614884,Victoria Project - Apartment III - Private Parking,49369006,Verónica/Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145164,-8.614014,Entire home/apt,146,2,86,2022-08-29,1.49,5,281,33,60001/AL
19680103,Douro Amazing River View,112847820,Pedro,PORTO,Lordelo do Ouro e Massarelos,41.14588,-8.63404,Entire home/apt,199,2,256,2022-09-09,4.07,1,151,67,50746/AL
19615050,Victoria Project - Apartment I - Private Parking,49369006,Verónica/Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14516,-8.61401,Entire home/apt,192,2,99,2022-09-08,1.73,5,280,42,60001/AL
19693172,PORTO CLÉRIGOS Apartment Rose (2nd),29026904,Carlos Augusto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145615,-8.614223,Entire home/apt,86,2,71,2022-07-30,1.31,4,311,3,56919/AL
19615098,Victoria Project - Apartment II - Private Parking,49369006,Verónica/Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14516,-8.61401,Entire home/apt,192,2,147,2022-09-06,2.56,5,283,58,60001/AL
19694922,Cosy single room in Lima House,43623823,Inês,PORTO,Bonfim,41.16003,-8.60004,Private room,76,3,131,2022-03-13,2.08,4,0,11,51006/AL
19617492,T2 Apartment w/ Swimming Pool,137971881,Natalia,MATOSINHOS,Matosinhos e Leça da Palmeira,41.19542,-8.69031,Entire home/apt,90,3,3,2022-07-30,0.60,1,259,3,
19619289,"Porto Central Suite 2 (AC) Trindade, Aliados",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15212,-8.61021,Private room,53,2,158,2022-08-30,2.51,18,94,26,49949/AL
19696889,"O'Porto São João, fell at home in Downtown",54040900,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1419,-8.61363,Entire home/apt,118,2,259,2022-09-13,4.17,18,342,55,38416/AL
19697965,O'porto São João 4E,54040900,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1419,-8.61363,Entire home/apt,120,2,201,2022-09-05,3.23,18,345,44,38418/AL
19620817,Cozy private bedroom in Porto center,24496223,Gaspar,PORTO,Paranhos,41.16845,-8.61407,Private room,11,1,0,,,1,89,0,
19698595,"O'Porto São João Apartment, Ribeira Downtown",54040900,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1419,-8.61363,Entire home/apt,106,2,218,2022-08-24,3.50,18,349,37,38417/AL
19698878,Private Room - Póvoa de Varzim - Near the Beach,27193986,Maria Helena,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.38645,-8.77068,Private room,20,1,3,2020-02-08,0.05,4,357,0,
